epoch,loss,accuracy,val_loss,val_accuracy
1,0.3065,0.8970,0.2945,0.9004
2,0.2090,0.9307,0.3086,0.8924
3,0.1902,0.9342,0.1253,0.9579
4,0.1719,0.9416,0.1062,0.9558
5,0.1594,0.9470,0.1127,0.9562
6,0.1519,0.9485,0.0723,0.9737
7,0.1453,0.9507,0.1301,0.9486
8,0.1385,0.9533,0.3824,0.8392
9,0.1323,0.9538,0.0365,0.9867
10,0.1287,0.9558,0.1222,0.9518
11,0.1211,0.9585,0.1197,0.9554
12,0.1180,0.9594,1.1699,0.9548
13,0.1154,0.9598,2.9003,0.5087
14,0.1136,0.9600,0.1009,0.9605
15,0.1070,0.9617,1.0613,0.6854
16,0.1050,0.9636,2.0593,0.6189
17,0.1022,0.9643,0.2805,0.8931
18,0.1013,0.9648,0.1637,0.9350
19,0.0990,0.9651,0.1260,0.9497
20,0.0951,0.9664,4.1782,0.4690
21,0.0925,0.9670,0.1465,0.9401
22,0.0917,0.9673,5.1470,0.3664
23,0.0869,0.9698,1.4776,0.6024
24,0.0869,0.9686,0.0611,0.9772
25,0.0841,0.9703,0.1629,0.9413
26,0.0844,0.9701,8.4087,0.4646
27,0.0805,0.9714,0.1128,0.9543
28,0.0787,0.9717,0.0579,0.9789
29,0.0793,0.9714,1.8439,0.6059
30,0.0746,0.9733,0.1026,0.9605
